Window_Start,Window_End,information,ch1_avg,ch2_avg,ch1_absolute_peak,ch2_absolute_peak,absolute_peak_time,ch1_peak,ch2_peak,peak_time
0.5,5.5,Initial Baseline,624.9080618306467,650.4740042576127,,,,,,
482.39100000000326,487.39100000000326,Baseline Window (5ug/ml / 5ug/ml),624.8913969224101,650.4740042576128,625.0172632132218,650.4740042576128,398.984000000004,624.9959791433303,650.4740042576128,460.29700000000594
670.9060000000027,675.9060000000027,Baseline Window (5ug/ml / 10ug/ml),624.8947528532814,650.4740042576128,625.010483506464,650.4740042576128,587.859000000004,624.9945940760201,650.4740042576128,648.8280000000013
1095.625,1100.625,Baseline Window (10ug/ml / 10ug/ml),624.8946615844195,650.4740042576128,625.0901109286192,650.4740042576128,1013.1870000000054,625.0593406175145,650.4740042576128,1073.5620000000054
1284.484000000004,1289.484000000004,Baseline Window (10ug/ml / 50ug/ml),624.8985908379103,650.4740042576128,625.0889121388926,650.4740042576128,1201.781000000003,625.0545624013166,650.4740042576128,1262.453000000001
1705.359000000004,1710.359000000004,Baseline Window (50ug/ml / 50ug/ml),624.9163638971293,650.4740042576128,625.4584384764488,650.4740042576128,1621.5940000000046,625.4309019316931,650.4740042576128,1683.281000000003
1894.047000000006,1899.047000000006,Baseline Window (50ug/ml / 100ug/ml),624.923577750719,650.4740042576128,625.4778234943476,650.4740042576128,1811.125,625.4400447378678,650.4740042576128,1871.922000000006
2253.672000000006,2258.672000000006,Baseline Window (100ug/ml / 100ug/ml),624.945752603489,650.4740042576128,625.9079863961664,650.4740042576128,2171.2660000000037,625.8806235718521,650.4740042576128,2231.5940000000046
2442.6870000000054,2447.6870000000054,Baseline Window (100ug/ml / 200ug/ml),624.9614807480093,650.4740042576128,625.9287360936701,650.4740042576128,2359.2660000000037,625.9074310332163,650.4740042576128,2420.5620000000054
2803.75,2808.75,Baseline Window (200ug/ml / 200ug/ml),624.9850830909749,650.4740042576128,626.2531515366095,650.4740042576128,2719.984000000004,626.2044203346547,650.4740042576128,2781.609000000004
2992.4690000000046,2997.4690000000046,Baseline Window (200ug/ml / 1000ug/ml),625.0396486934219,650.4740042576128,626.2556442036318,650.4740042576128,2910.8120000000054,626.2342744932686,650.4740042576128,2970.3440000000046
3328.0160000000037,3333.0160000000037,Baseline Window (1000ug/ml / 1000ug/ml),625.1249737277166,650.4740042576128,626.8671224279288,650.4740042576128,3244.3120000000054,626.7929865741154,650.4740042576128,3305.9060000000027
3516.9690000000046,3521.9690000000046,Baseline Window (1000ug/ml / 1500ug/ml),625.1850723814779,650.4740042576128,626.9271077960003,650.4740042576128,3432.9690000000046,626.8674349933681,650.4740042576128,3494.875
3774.312000000005,3779.312000000005,Baseline Window (1500ug/ml / 1500ug/ml),625.1507066995428,650.4740042576128,626.8268805296971,650.4740042576128,3690.1410000000033,626.7539141671285,650.4740042576128,3752.203000000001
3968.3440000000046,3973.3440000000046,Baseline Window (1500ug/ml / Final),625.1543985184043,650.4740042576128,626.8173471163867,650.4740042576128,3883.328000000001,626.7295042458612,650.4740042576128,3946.2190000000046
4041.297000000006,4046.297000000006,Final Baseline,625.1319006969918,650.4740042576128,,,,,,
